,0
0,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0000&r=$TIMESTAMP
1,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0005&r=$TIMESTAMP
2,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0001&r=$TIMESTAMP
3,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0006&r=$TIMESTAMP
4,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0002&r=$TIMESTAMP
5,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0007&r=$TIMESTAMP
6,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0003&r=$TIMESTAMP
7,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0008&r=$TIMESTAMP
8,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0004&r=$TIMESTAMP
9,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0009&r=$TIMESTAMP
10,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc000&r=$TIMESTAMP
11,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc001&r=$TIMESTAMP
12,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc002&r=$TIMESTAMP
13,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc003&r=$TIMESTAMP
14,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc004&r=$TIMESTAMP
15,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc005&r=$TIMESTAMP
16,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc006&r=$TIMESTAMP
17,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc007&r=$TIMESTAMP
18,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc008&r=$TIMESTAMP
19,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc009&r=$TIMESTAMP
20,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc010&r=$TIMESTAMP
21,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc011&r=$TIMESTAMP
22,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc012&r=$TIMESTAMP
23,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc013&r=$TIMESTAMP
24,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc014&r=$TIMESTAMP
25,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc015&r=$TIMESTAMP
26,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc016&r=$TIMESTAMP
27,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc017&r=$TIMESTAMP
28,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc018&r=$TIMESTAMP
29,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc019&r=$TIMESTAMP
30,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc000&r=$TIMESTAMP
31,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc001&r=$TIMESTAMP
32,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc002&r=$TIMESTAMP
33,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc003&r=$TIMESTAMP
34,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc004&r=$TIMESTAMP
35,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc005&r=$TIMESTAMP
36,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc006&r=$TIMESTAMP
37,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc007&r=$TIMESTAMP
38,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc008&r=$TIMESTAMP
39,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc009&r=$TIMESTAMP
40,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc010&r=$TIMESTAMP
41,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc011&r=$TIMESTAMP
42,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc012&r=$TIMESTAMP
43,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc013&r=$TIMESTAMP
44,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc014&r=$TIMESTAMP
45,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc015&r=$TIMESTAMP
46,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc016&r=$TIMESTAMP
47,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc017&r=$TIMESTAMP
48,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc018&r=$TIMESTAMP
49,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47791&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc019&r=$TIMESTAMP
50,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0000&r=$TIMESTAMP
51,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0005&r=$TIMESTAMP
52,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0001&r=$TIMESTAMP
53,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0006&r=$TIMESTAMP
54,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0002&r=$TIMESTAMP
55,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0007&r=$TIMESTAMP
56,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0003&r=$TIMESTAMP
57,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0008&r=$TIMESTAMP
58,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0004&r=$TIMESTAMP
59,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47792&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0009&r=$TIMESTAMP
60,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0000&r=$TIMESTAMP
61,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0005&r=$TIMESTAMP
62,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0001&r=$TIMESTAMP
63,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0006&r=$TIMESTAMP
64,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0002&r=$TIMESTAMP
65,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0007&r=$TIMESTAMP
66,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0003&r=$TIMESTAMP
67,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0008&r=$TIMESTAMP
68,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0004&r=$TIMESTAMP
69,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0009&r=$TIMESTAMP
70,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0010&r=$TIMESTAMP
71,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50552&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0011&r=$TIMESTAMP
72,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0000&r=$TIMESTAMP
73,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0005&r=$TIMESTAMP
74,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0001&r=$TIMESTAMP
75,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0006&r=$TIMESTAMP
76,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0002&r=$TIMESTAMP
77,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0007&r=$TIMESTAMP
78,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0003&r=$TIMESTAMP
79,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0008&r=$TIMESTAMP
80,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0004&r=$TIMESTAMP
81,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0009&r=$TIMESTAMP
82,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0010&r=$TIMESTAMP
83,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn50777&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0011&r=$TIMESTAMP
84,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc000&r=$TIMESTAMP
85,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc001&r=$TIMESTAMP
86,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc002&r=$TIMESTAMP
87,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc003&r=$TIMESTAMP
88,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc004&r=$TIMESTAMP
89,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc005&r=$TIMESTAMP
90,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc006&r=$TIMESTAMP
91,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc007&r=$TIMESTAMP
92,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc008&r=$TIMESTAMP
93,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc009&r=$TIMESTAMP
94,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc010&r=$TIMESTAMP
95,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc011&r=$TIMESTAMP
96,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc012&r=$TIMESTAMP
97,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc013&r=$TIMESTAMP
98,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc014&r=$TIMESTAMP
99,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc015&r=$TIMESTAMP
100,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc016&r=$TIMESTAMP
101,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc017&r=$TIMESTAMP
102,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc018&r=$TIMESTAMP
103,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55048&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc019&r=$TIMESTAMP
104,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0000&r=$TIMESTAMP
105,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0005&r=$TIMESTAMP
106,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0001&r=$TIMESTAMP
107,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0006&r=$TIMESTAMP
108,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0002&r=$TIMESTAMP
109,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0007&r=$TIMESTAMP
110,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0003&r=$TIMESTAMP
111,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0008&r=$TIMESTAMP
112,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0004&r=$TIMESTAMP
113,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn55051&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0009&r=$TIMESTAMP
114,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0001&r=$TIMESTAMP
115,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0002&r=$TIMESTAMP
116,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0003&r=$TIMESTAMP
117,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0004&r=$TIMESTAMP
118,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0005&r=$TIMESTAMP
119,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0006&r=$TIMESTAMP
120,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0007&r=$TIMESTAMP
121,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0008&r=$TIMESTAMP
122,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0009&r=$TIMESTAMP
123,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0010&r=$TIMESTAMP
124,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn57373&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0011&r=$TIMESTAMP
125,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn53252&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0001&r=$TIMESTAMP
126,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn53252&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0002&r=$TIMESTAMP
127,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn53252&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0003&r=$TIMESTAMP
